taxon	total
Caldilinea	25414.868178775
Nitrospira	20661.7492551171
Sorangium	18241.7170368186
Mycobacterium	14892.9966161738
Candidatus Accumulibacter	11906.5856237162
Streptomyces	9883.98971459188
Anaerolinea	8975.14623219175
Burkholderia	8515.90087908299
Thauera	6212.32458541424
Plesiocystis	6043.42026585336
Haliangium	5863.121853042
Haliscomenobacter	5838.63289876914
Niastella	5308.86398920914
Verrucomicrobium	5222.86520717125
Candidatus Solibacter	4867.26792084037
Pseudomonas	4534.65564175874
Gemmata	4447.85438894131
Planctomyces	4381.10961937427
Pedosphaera	4096.39264864498
Anaeromyxobacter	4019.09961149887
Bradyrhizobium	3962.72377959236
Frankia	3650.36475464089
Bacteroides	3545.56432377617
Roseiflexus	3467.21708398097
Geobacter	3187.54504535923
Singulisphaera	3158.50470099264
Chthoniobacter	3044.41192659103
Acidovorax	3031.94110628975
Gemmatimonas	3011.83746875311
Bdellovibrio	2835.049354374
Dechloromonas	2544.79419588738
Leptospira	2512.42558953217
Myxococcus	2432.24868682818
Conexibacter	2407.61818455364
Bacillus	2402.82547762589
Hyphomicrobium	2337.64231815513
Pirellula	2321.06654124512
Fluviicola	2305.44163043436
Candidatus Chloracidobacterium	2274.95918884758
Stigmatella	2270.8847058986
Rubrivivax	2268.85004955478
Gordonia	2265.3420557033
Desulfovibrio	2181.95646997514
Herpetosiphon	2166.46127982424
Clostridium	2141.90696021148
Holophaga	2136.55050485954
Chloroflexus	2033.8401870821
Ktedonobacter	2020.45412511999
Mesorhizobium	2004.13432345365
Cupriavidus	1812.77283899856
Flavobacterium	1812.23008524054
Paenibacillus	1799.34352720812
Nitrosomonas	1742.52146913754
Niabella	1710.78080276188
Methylobacterium	1699.59208413989
Xanthomonas	1640.89140413094
Chitinophaga	1621.35809805961
Opitutus	1593.67888832722
Novosphingobium	1566.58054015675
Sphaerobacter	1521.29751366362
Corallococcus	1515.51389030158
Cyanothece	1499.02273947599
Microscilla	1469.91081935211
Nitrosococcus	1414.17031059986
Saprospira	1411.25595678609
Rhodopseudomonas	1361.08938924981
Pedobacter	1346.41826850352
Sphingomonas	1323.56042099005
Nocardioides	1319.72696974463
Blastopirellula	1298.72090553444
Drosophila	1298.57815313714
Anaerophaga	1268.3248550417
Polaromonas	1257.89993964199
Prevotella	1211.72216997231
Aromatoleum	1197.05980511335
Ralstonia	1181.60464957164
Vibrio	1176.62155580009
Oscillochloris	1171.28655694375
Desulfobulbus	1161.36984015123
Synechococcus	1134.05926392662
Candidatus Koribacter	1120.06606000472
Thiocapsa	1115.5911496364
Runella	1083.48200446966
Azospirillum	1069.80183188399
Methylibium	1017.48056863896
Caulobacter	1007.40816476828
Shewanella	1005.7992137715
Leptothrix	1000.54847285572
Azospira	998.758117551932
Cytophaga	975.629742836843
Methyloversatilis	970.176684371273
Caldithrix	954.996890112414
Variovorax	931.469210819881
Rhodococcus	916.492022562027
Acinetobacter	914.854591176221
Sphingobium	910.482895511291
Methylococcus	906.9103277568
Spirosoma	889.699531099285
Methylomicrobium	883.026898046139
Thioalkalivibrio	881.83089648435
Alicycliphilus	879.827305563153
Rhodobacter	877.896727097259
Thiorhodovibrio	860.644402835501
Acidimicrobium	848.208252322834
Patulibacter	840.426817713293
Rhodopirellula	821.573672633628
Comamonas	821.028882573235
Syntrophus	811.360008098153
Desulfotomaculum	810.672175470477
Thiocystis	809.201806145827
Albidiferax	801.767541328035
Beggiatoa	796.384541913829
Isosphaera	793.105400365285
