TaxID	Chromosomes/RefSeq	Status
478547	-	Contig
1211707	-	Contig
439847	-	Contig
440534	-	Contig
454167	-	Contig
454231	-	Contig
454165	-	Contig
454164	-	Contig
465518	-	Contig
859199	-	Contig
926034	-	Contig
886715	-	Contig
1003191	-	Contig
984211	-	Contig
1029983	-	Contig
1208611	-	Contig
1310128	-	Contig
1310131	-	Contig
1310132	-	Contig
1310129	-	Contig
1310130	-	Contig
1310133	-	Contig
375450	-	Contig
755896	-	Contig
1330535	-	Contig
1330536	-	Contig
1330537	-	Contig
426430	NC_009641.1	Gapless Chromosome
1399116	NC_022593.1	Gapless Chromosome
269801	-	Scaffold
405917	-	Scaffold
451707	-	Scaffold
451709	-	Scaffold
451708	-	Contig
998092	-	Contig
1293500	-	Contig
1041938	-	Scaffold
1041939	-	Scaffold
1385755	-	Gapless Chromosome
340184	-	Contig
478006	-	Contig
478007	-	Contig
1312921	-	Contig
160490	NC_002737.1	Gapless Chromosome
293653	NC_007297.1	Gapless Chromosome
294934	-	Contig
1336745	-	Contig
469602	-	Scaffold
469601	-	Scaffold
457405	-	Scaffold
405536	-	Scaffold
486624	-	Scaffold
486619	-	Scaffold
486621	-	Scaffold
486620	-	Scaffold
486622	-	Scaffold
486623	-	Contig
1194405	-	Contig
1104682	-	Contig
1154870	-	Contig
1154792	-	Contig
1154872	-	Contig
1154774	-	Contig
1154772	-	Contig
1154958	-	Contig
350703	-	Scaffold
672190	-	Contig
1198108	-	Contig
1224747	-	Contig
1241583	NC_022659.1,NC_022658.1	Gapless Chromosome
332415	-	Contig
339854	-	Contig
345075	-	Scaffold
417399	-	Scaffold
412614	-	Contig
412883	-	Contig
675807	-	Contig
675808	-	Contig
675809	-	Contig
417400	-	Scaffold
543737	-	Scaffold
272627	-	Contig
1151259	-	Contig
1151252	-	Contig
1151262	-	Contig
1151272	-	Contig
1151273	-	Contig
1151285	-	Contig
1151297	-	Contig
1151300	-	Contig
1151310	-	Contig
1151312	-	Contig
1151313	-	Contig
1151314	-	Contig
1151323	-	Contig
1151331	-	Contig
1151340	-	Contig
1151347	-	Contig
1151362	-	Contig
1151379	-	Contig
1151380	-	Contig
1151279	-	Contig
1151381	-	Contig
1151284	-	Contig
1151359	-	Contig
1151377	-	Contig
1151386	-	Contig
1151398	-	Contig
645462	-	Contig
1293501	-	Contig
1321951	NZ_CM001848.1	Chromosome
1051650	-	Contig
645657	NC_017196.1	Chromosome with gaps
563772	-	Contig
627611	-	Contig
1353981	-	Contig
1162297	-	Scaffold
1263871	-	Contig
1112244	-	Scaffold
333849	-	Contig
1347913	-	Contig
1275966	-	Contig
1275967	-	Contig
1275968	-	Contig
1275970	-	Contig
1275971	-	Contig
1275972	-	Contig
1275973	-	Contig
238030	-	Contig
1268350	-	Scaffold
1268348	-	Scaffold
1268337	-	Scaffold
1286831	-	Contig
1279034	-	Contig
1268349	-	Contig
1268333	-	Contig
1268316	-	Contig
1167737	-	Contig
1167739	-	Contig
396598	-	Contig
313624	NZ_CM001793.1	Chromosome
391586	-	Scaffold
314289	-	Contig
1280002	-	Contig
1219064	-	Contig
150340	-	Scaffold
1280001	-	Contig
1229494	-	Contig
394104	-	Contig
667013	NC_021894.1	Gapless Chromosome
387662	NC_008512.1	Gapless Chromosome
1202536	NC_018414.1	Gapless Chromosome
1202537	NC_018415.1	Gapless Chromosome
1202538	NC_018416.1	Gapless Chromosome
1202539	NC_018417.1	Gapless Chromosome
1202540	NC_018418.1	Gapless Chromosome
447454	-	Contig
447455	-	Contig
447456	-	Contig
438753	NC_009937.1	Gapless Chromosome
391606	-	Scaffold
637616	-	Scaffold
443342	-	Contig
471821	NC_020419.1	Complete
1136179	NC_022115.1	Gapless Chromosome
1037411	-	Contig
278957	-	Contig
562019	NC_012730.1	Gapless Chromosome
440496	-	Scaffold
573234	NC_012960.1	Gapless Chromosome
1005043	-	Contig
314288	-	Scaffold
700750	-	Contig
702457	NZ_CM001047.1	Chromosome
768700	NC_015155.1	Gapless Chromosome
708248	NC_015153.1	Gapless Chromosome
859350	-	Contig
871271	NC_014497.1	Gapless Chromosome
434085	-	Contig
859192	-	Contig
1348243	-	Scaffold
1305780	-	Scaffold
1305793	-	Scaffold
1305783	-	Scaffold
1305794	-	Scaffold
1305782	-	Scaffold
1305781	-	Scaffold
1305796	-	Scaffold
1305776	-	Scaffold
1305795	-	Scaffold
1305786	-	Scaffold
1305785	-	Scaffold
1305790	-	Scaffold
1305778	-	Scaffold
1305779	-	Scaffold
1305775	-	Scaffold
1305777	-	Scaffold
1053648	NC_017293.1	Gapless Chromosome
891398	NC_015736.1	Gapless Chromosome
871968	-	Contig
765910	-	Contig
913324	-	Contig
913327	-	Contig
929713	-	Contig
1074068	-	Contig
1074132	-	Contig
1074189	-	Contig
717772	-	Contig
1094894	-	Scaffold
910454	-	Scaffold
910458	-	Scaffold
410291	-	Scaffold
735332	-	Scaffold
882090	-	Contig
857041	-	Contig
857042	-	Contig
1027271	-	Contig
913333	-	Contig
913335	-	Contig
913336	-	Contig
699266	-	Contig
939844	-	Contig
913328	-	Contig
1032475	-	Contig
1212765	NC_018219.1	Gapless Chromosome
1072681	-	Contig
1197325	NC_018149.1	Gapless Chromosome
1094466	NC_017025.1	Gapless Chromosome
938672	-	Contig
938615	-	Contig
938557	-	Scaffold
932043	-	Scaffold
932037	-	Scaffold
932038	-	Contig
939390	-	Contig
994837	-	Scaffold
994838	-	Scaffold
1123865	-	Scaffold
1034345	-	Scaffold
938631	-	Contig
938633	-	Contig
1118060	-	Scaffold
938663	-	Contig
1009695	-	Scaffold
1009417	-	Scaffold
1009420	-	Scaffold
1009422	-	Scaffold
794903	-	Contig
174145	-	Contig
1154756	-	Contig
1159613	-	Contig
1298872	-	Contig
1147786	-	Scaffold
707248	-	Scaffold
95610	-	Contig
1079984	-	Scaffold
1038929	-	Scaffold
1235980	-	Contig
926447	-	Scaffold
751944	-	Contig
1174504	-	Contig
1167731	-	Contig
1094928	-	Contig
1167733	-	Contig
388400	-	Contig
161544	-	Contig
1051502	-	Scaffold
322866	-	Scaffold
1094946	-	Contig
1094941	-	Contig
1094942	-	Contig
1094944	-	Contig
1094943	-	Contig
1094945	-	Contig
1094939	-	Contig
1288971	-	Contig
1233099	-	Contig
1316937	-	Contig
166314	-	Scaffold
272844	NC_000868.1	Chromosome
1095768	-	Scaffold
980518	-	Scaffold
1235834	-	Contig
1157683	-	Contig
1203190	-	Scaffold
1260983	-	Scaffold
1206723	-	Contig
1206722	-	Contig
1206721	-	Contig
1206725	-	Contig
1206726	-	Contig
1206727	-	Contig
1206741	-	Contig
1206729	-	Contig
1206730	-	Contig
1206731	-	Contig
1206733	-	Contig
1206732	-	Contig
1206734	-	Contig
1206737	-	Contig
1206735	-	Contig
1206736	-	Contig
1206738	-	Contig
1206739	-	Contig
1206740	-	Contig
1206743	-	Contig
1206742	-	Contig
1206744	-	Contig
1268345	-	Contig
1268334	-	Contig
1128287	-	Contig
1128327	-	Contig
1128288	-	Contig
1128326	-	Contig
1128328	-	Contig
1286279	-	Contig
1297534	-	Contig
1297857	-	Contig
1218800	-	Contig
1341646	-	Scaffold
1203076	-	Scaffold
1357296	-	Contig
1214066	-	Contig
1197728	-	Scaffold
1122992	-	Scaffold
1286828	-	Contig
1054943	-	Contig
1054946	-	Contig
1094936	-	Contig
1298875	-	Scaffold
58051	-	Contig
1094930	-	Contig
1157681	-	Contig
1157680	-	Contig
1157689	-	Contig
422288	-	Contig
422289	-	Contig
432331	-	Contig
905052	-	Contig
1173684	-	Contig
1073571	-	Contig
1244087	-	Contig
713587	-	Contig
384035	-	Scaffold
77037	-	Contig
1261555	-	Contig
96496	-	Contig
569152	-	Contig
569153	-	Contig
613198	-	Contig
613202	-	Contig
1122971	-	Contig
1235983	-	Contig
1221525	-	Scaffold
929794	-	Scaffold
1118057	-	Scaffold
1095770	-	Scaffold
1298870	-	Contig
1120961	-	Scaffold
872330	-	Contig
889962	-	Scaffold
889948	-	Scaffold
238241	-	Contig
938294	-	Contig
938293	-	Scaffold
938294	-	Scaffold
304766	-	Contig
557855	-	Contig
1094948	-	Contig
1167751	-	Contig
1268320	-	Scaffold
1268317	-	Scaffold
1268313	-	Scaffold
1298874	-	Contig
1298873	-	Contig
1286827	-	Contig
1279033	-	Contig
1268339	-	Contig
1268336	-	Contig
1094947	-	Contig
1167747	-	Contig
1157686	-	Contig
1131289	-	Scaffold
1131286	-	Scaffold
1131288	-	Scaffold
1131290	-	Contig
1131287	-	Scaffold
1123518	-	Contig
1131271	-	Contig
1131291	-	Scaffold
938623	-	Contig
1167756	-	Contig
1286839	-	Scaffold
